"Paragraph","CaptionContext","RelationshipId","Target"
"1","学号：2023120619密级：公开","rId8","media/image1.png"
"20","","rId15","media/image2.emf"
"24","","rId16","media/image3.emf"
"298","","rId26","media/image4.png"
"298","","rId27","media/image5.png"
"352","","rId28","media/image6.png"
"366","","rId30","media/image7.png"
"367","","rId31","media/image8.png"
"375","","rId32","media/image9.png"
"379","不含构件i的系统，其构件总数量为n-1个此时，构件i的RAW指标为：","rId33","media/image10.wmf"
"380","","rId35","media/image11.wmf"
"380","","rId37","media/image12.wmf"
"381","式中：RAWi代表构件i的RAW指标，指标的大小反映了该构件的重要性程度，指标越大，说明该构件的重要性程度越高；为系统的失效概率,而系统不含有构件i；为系统S的失效概率。","rId39","media/image13.wmf"
"381","式中：RAWi代表构件i的RAW指标，指标的大小反映了该构件的重要性程度，指标越大，说明该构件的重要性程度越高；为系统的失效概率,而系统不含有构件i；为系统S的失效概率。","rId33","media/image10.wmf"
"381","式中：RAWi代表构件i的RAW指标，指标的大小反映了该构件的重要性程度，指标越大，说明该构件的重要性程度越高；为系统的失效概率,而系统不含有构件i；为系统S的失效概率。","rId33","media/image10.wmf"
"381","式中：RAWi代表构件i的RAW指标，指标的大小反映了该构件的重要性程度，指标越大，说明该构件的重要性程度越高；为系统的失效概率,而系统不含有构件i；为系统S的失效概率。","rId43","media/image14.wmf"
"388","","rId45","media/image15.png"
"388","","rId46","media/image16.png"
"395","","rId47","media/image17.wmf"
"396","式中：为构件i为脆性状态的概率；为系统S中存在一个为脆性状态的潜在脆性破坏构件时的失效概率。为构件i为塑性状态的概率；为系统S中所有构件均为塑性状态时的失效概率。","rId49","media/image18.wmf"
"396","式中：为构件i为脆性状态的概率；为系统S中存在一个为脆性状态的潜在脆性破坏构件时的失效概率。为构件i为塑性状态的概率；为系统S中所有构件均为塑性状态时的失效概率。","rId51","media/image19.wmf"
"396","式中：为构件i为脆性状态的概率；为系统S中存在一个为脆性状态的潜在脆性破坏构件时的失效概率。为构件i为塑性状态的概率；为系统S中所有构件均为塑性状态时的失效概率。","rId53","media/image20.wmf"
"396","式中：为构件i为脆性状态的概率；为系统S中存在一个为脆性状态的潜在脆性破坏构件时的失效概率。为构件i为塑性状态的概率；为系统S中所有构件均为塑性状态时的失效概率。","rId55","media/image21.wmf"
"397","从RAW的本质可知，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。由于在本节中，系统S只含有一个潜在脆性破坏构件i，所以系统中不含潜在脆性破坏构件，那么系统中所有构件均为塑性，故系统只能在所有构件为塑性状态时失效。因此，系统的失效概率相当于含n-1个塑性构件时的系统的失效概率。","rId33","media/image10.wmf"
"397","从RAW的本质可知，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。由于在本节中，系统S只含有一个潜在脆性破坏构件i，所以系统中不含潜在脆性破坏构件，那么系统中所有构件均为塑性，故系统只能在所有构件为塑性状态时失效。因此，系统的失效概率相当于含n-1个塑性构件时的系统的失效概率。","rId33","media/image10.wmf"
"397","从RAW的本质可知，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。由于在本节中，系统S只含有一个潜在脆性破坏构件i，所以系统中不含潜在脆性破坏构件，那么系统中所有构件均为塑性，故系统只能在所有构件为塑性状态时失效。因此，系统的失效概率相当于含n-1个塑性构件时的系统的失效概率。","rId33","media/image10.wmf"
"397","从RAW的本质可知，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。由于在本节中，系统S只含有一个潜在脆性破坏构件i，所以系统中不含潜在脆性破坏构件，那么系统中所有构件均为塑性，故系统只能在所有构件为塑性状态时失效。因此，系统的失效概率相当于含n-1个塑性构件时的系统的失效概率。","rId33","media/image10.wmf"
"397","从RAW的本质可知，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。由于在本节中，系统S只含有一个潜在脆性破坏构件i，所以系统中不含潜在脆性破坏构件，那么系统中所有构件均为塑性，故系统只能在所有构件为塑性状态时失效。因此，系统的失效概率相当于含n-1个塑性构件时的系统的失效概率。","rId33","media/image10.wmf"
"404","","rId62","media/image22.png"
"404","","rId63","media/image23.png"
"410","","rId35","media/image11.wmf"
"410","","rId65","media/image24.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId49","media/image18.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId68","media/image25.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId70","media/image26.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId53","media/image20.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId73","media/image27.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId75","media/image28.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId77","media/image29.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId55","media/image21.wmf"
"412","同理，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。在本节中，因为系统S含有两个编号为i和j的潜在脆性破坏构件，所以系统中只含有一个潜在脆性破坏构件，即构件j。因此，其失效情况可分为如图2.5所示的两种不同情况：","rId33","media/image10.wmf"
"412","同理，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。在本节中，因为系统S含有两个编号为i和j的潜在脆性破坏构件，所以系统中只含有一个潜在脆性破坏构件，即构件j。因此，其失效情况可分为如图2.5所示的两种不同情况：","rId33","media/image10.wmf"
"413","①构件j呈现脆性后系统失效;","rId82","media/image30.wmf"
"414","②构件j呈现塑性时系统失效。","rId84","media/image31.wmf"
"415","","rId86","media/image32.png"
"415","","rId87","media/image33.png"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId33","media/image10.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId82","media/image30.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId84","media/image31.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId82","media/image30.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId84","media/image31.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId33","media/image10.wmf"
"421","","rId35","media/image11.wmf"
"421","","rId95","media/image34.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId73","media/image27.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId98","media/image35.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId33","media/image10.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId68","media/image25.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId102","media/image36.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId33","media/image10.wmf"
"425","","rId105","media/image37.wmf"
"425","","rId35","media/image11.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId108","media/image38.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId110","media/image39.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId112","media/image40.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId114","media/image41.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId70","media/image26.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId117","media/image42.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId119","media/image43.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId121","media/image44.wmf"
"426","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合；m是该集合中的一个元素；表示构件i为脆性状态的概率；表示构件i，j同时为脆性状态的概率；以此类推，表示构件i、j、k…p、q、r同时为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态的概率。表示系统S中含一个潜在脆性破坏构件i，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b1中的1对应潜在脆性破坏构件i为塑性状态时的情况。表示系统S中含一个潜在脆性破坏构件j，且其为脆性状态时的失效概率；S1中的1表示有1个潜在脆性破坏构件为塑性状态，b2中的2对应潜在脆性破坏构件j为塑性状态时的情况。以此类推表示系统S中有n1-1个潜在脆性破坏构件，分别为构件i、j、k…p、q，且其为脆性状态时的失效概率；S(n1-1)中(n1-1)表示有(n1-1)个潜在脆性破坏构件，且同时为脆性状态，中对应i、j、k…p、q构件均为脆性状态。","rId123","media/image45.wmf"
"427","同理，由RAW本质可知，为计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。在本节中，系统S中有n1个潜在脆性破坏构件，则系统中有(n1-1)个潜在脆性破坏构件，每一个潜在脆性破坏构件均可能呈现塑性或脆性两种状态，其呈现脆性和塑性是相互独立的。所以，系统的失效情况有2n1-1种，其失效概率如公式2.5所示。","rId33","media/image10.wmf"
"427","同理，由RAW本质可知，为计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。在本节中，系统S中有n1个潜在脆性破坏构件，则系统中有(n1-1)个潜在脆性破坏构件，每一个潜在脆性破坏构件均可能呈现塑性或脆性两种状态，其呈现脆性和塑性是相互独立的。所以，系统的失效情况有2n1-1种，其失效概率如公式2.5所示。","rId33","media/image10.wmf"
"427","同理，由RAW本质可知，为计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。在本节中，系统S中有n1个潜在脆性破坏构件，则系统中有(n1-1)个潜在脆性破坏构件，每一个潜在脆性破坏构件均可能呈现塑性或脆性两种状态，其呈现脆性和塑性是相互独立的。所以，系统的失效情况有2n1-1种，其失效概率如公式2.5所示。","rId33","media/image10.wmf"
"428","","rId128","media/image46.wmf"
"428","","rId35","media/image11.wmf"
"429","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合，m是该集合中的一个元素。表示构件j为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态时的概率。表示不含构件i的系统中构件j为脆性状态下的失效概率，其中(i)表示不含构件i。以此类推，表示不含构件i的系统中构件j、k…p、q、r均表现为脆性状态时的失效概率。","rId73","media/image27.wmf"
"429","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合，m是该集合中的一个元素。表示构件j为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态时的概率。表示不含构件i的系统中构件j为脆性状态下的失效概率，其中(i)表示不含构件i。以此类推，表示不含构件i的系统中构件j、k…p、q、r均表现为脆性状态时的失效概率。","rId114","media/image41.wmf"
"429","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合，m是该集合中的一个元素。表示构件j为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态时的概率。表示不含构件i的系统中构件j为脆性状态下的失效概率，其中(i)表示不含构件i。以此类推，表示不含构件i的系统中构件j、k…p、q、r均表现为脆性状态时的失效概率。","rId33","media/image10.wmf"
"429","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合，m是该集合中的一个元素。表示构件j为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态时的概率。表示不含构件i的系统中构件j为脆性状态下的失效概率，其中(i)表示不含构件i。以此类推，表示不含构件i的系统中构件j、k…p、q、r均表现为脆性状态时的失效概率。","rId134","media/image47.wmf"
"429","式中：A表示潜在脆性破坏构件i、j、k…p、q、r的集合，m是该集合中的一个元素。表示构件j为脆性状态的概率。表示编号为m的潜在脆性破坏构件为塑性状态时的概率。表示不含构件i的系统中构件j为脆性状态下的失效概率，其中(i)表示不含构件i。以此类推，表示不含构件i的系统中构件j、k…p、q、r均表现为脆性状态时的失效概率。","rId33","media/image10.wmf"
"434","","rId35","media/image11.wmf"
"434","","rId138","media/image48.wmf"
"438","","rId140","media/image49.png"
"447","","rId141","media/image50.png"
"454","","rId142","media/image51.png"
"461","","rId143","media/image52.png"
"469","","rId144","media/image53.png"
"476","","rId145","media/image54.png"
"484","","rId146","media/image55.png"
"493","","rId147","media/image56.png"
"501","","rId148","media/image57.png"
"509","","rId149","media/image58.png"
"516","假设一个构件总数量n=11的静定桁架结构，如图2.16所示。因为该静定桁架结构由相邻的四根杆件构成的基本单元组成，所以本文以相邻的四根杆件构成的基本单元为单位计算其重要性程度。如图2.16中所示，构件1、构件3、构件4、构件5为一组基本单元；构件8、构件9、构件10、构件11为一组基本单元。本节选取构件8、构件9、构件10、构件11这组基本单元进行研究。假设构件11为潜在脆性破坏构件，其脆性发生概率为0.05，其余构件均呈现塑性，可靠度指标见表2.1。当每个构件的相关系数ρ均为0.1时，在外部荷载值F为100kN的情况下，其内力分布如图2.17所示。而不含该组构件后的静定桁架结构如图2.18所示，当外部荷载值F仍为100kN时，其内力分布如图15所示。","rId108","media/image38.wmf"
"517","","rId151","media/image59.emf"
"521","","rId152","media/image60.png"
"525","","rId153","media/image61.emf"
"529","","rId154","media/image62.png"
"548","基于这些条件与数据，采用松弛线性规划法(RLP)计算出含有构件8、构件9、构件10、构件11系统的失效概率PS为0.00204~0.00204；而不含构件8、构件9、构件10、构件11的系统的失效概率为0.0013~0.0013。由于在该系统里相关系数数值较小，仅为0.1，即构件间近乎于相互独立，所以计算得出的系统失效概率非常接近，此时该组构件的重要性程度RAW为0.6387。","rId39","media/image13.wmf"
"550","","rId156","media/image63.png"
"554","","rId157","media/image64.png"
"558","","rId158","media/image65.png"
"562","","rId159","media/image66.png"
"568","","rId160","media/image67.png"
"572","","rId161","media/image68.png"
"576","本节同样选取相邻四根杆件作为基本单元进行研究，如构件1、构件2、构件3和构件4为一组基本单元，构件5、构件6、构件7和构件8为一组基本单元，以此类推。其中构件6为潜在脆性破坏构件，其脆性发生概率为0.05，其余构件均为塑性构件。以下将选取构件5、构件6、构件7和构件8这组基本单元进行重要性程度研究。其中每根构件的可靠度指标可见表2.2。","rId49","media/image18.wmf"
"596","基于以上条件与数据，运用松弛线性规划法(RLP)可计算出含有构件5、构件6、构件7、构件8时整个系统的失效概率PS为0.01917~0.01919；而不含构件5、构件6、构件7、构件8时整个系统的失效概率为0.01689~0.01690。因此以构件5、构件6、构件7、构件8组成的基本单元的重要性程度RAW为0.88056~0.88084。","rId39","media/image13.wmf"
"599","","rId164","media/image69.jpeg"
"599","","rId165","media/image70.png"
"695","","rId167","media/image71.png"
"700","","rId35","media/image11.wmf"
"700","","rId169","media/image72.wmf"
"705","","rId171","media/image73.png"
"710","","rId35","media/image11.wmf"
"710","","rId173","media/image74.wmf"
"712","","rId175","media/image75.png"
"717","","rId35","media/image11.wmf"
"717","","rId177","media/image76.wmf"
"720","","rId179","media/image77.png"
"725","","rId35","media/image11.wmf"
"725","","rId181","media/image78.wmf"
"727","","rId35","media/image11.wmf"
"727","","rId184","media/image79.wmf"
"729","","rId186","media/image80.wmf"
"729","","rId188","media/image81.wmf"
"737","","rId190","media/image82.png"
"745","","rId191","media/image83.png"
"752","","rId192","media/image84.png"
"757","","rId193","media/image85.png"
"766","","rId35","media/image11.wmf"
"766","","rId195","media/image86.wmf"
"768","","rId197","media/image87.png"
"773","","rId35","media/image11.wmf"
"773","","rId199","media/image88.wmf"
"778","","rId201","media/image89.png"
"782","","rId202","media/image90.png"
"790","","rId203","media/image91.png"
"796","","rId205","media/image92.png"
"938","","rId207","media/image93.jpeg"
"942","","rId205","media/image92.png"
"946","","rId208","media/image94.png"
"946","","rId209","media/image95.jpeg"
"952","","rId210","media/image96.jpeg"
"978","","rId211","media/image97.png"
"982","","rId212","media/image98.png"
"987","","rId213","media/image99.png"
"994","","rId214","media/image100.png"
"999","","rId215","media/image101.png"
"1009","","rId216","media/image102.png"
"1017","","rId217","media/image103.png"
"1025","","rId218","media/image104.png"
"1034","","rId219","media/image105.wmf"
"1034","","rId35","media/image11.wmf"
"1036","","rId222","media/image106.png"
"1041","","rId35","media/image11.wmf"
"1041","","rId224","media/image107.wmf"
"1045","","rId226","media/image108.png"
"1053","","rId227","media/image109.png"
"1057","","rId228","media/image110.png"
"1057","","rId229","media/image111.png"
"1063","","rId230","media/image112.png"
"1068","","rId231","media/image113.png"
"1072","","rId232","media/image114.png"
